Baisley Park,Queens,29.36045577913083
Flushing Meadows-Corona Park,Queens,27.304845733617686
South Jamaica,Queens,26.294916239873473
Randalls Island,Manhattan,24.15098994022753
Astoria Park,Queens,21.706417112147527
Briarwood/Jamaica Hills,Queens,19.945064631789332
Springfield Gardens South,Queens,19.4683092887819
Jamaica,Queens,19.283943000137896
Corona,Queens,18.22876924815598
LaGuardia Airport,Queens,18.181338808373003
Jamaica Bay,Queens,17.10052944675789
Maspeth,Queens,17.005450640079545
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249636
Battery Park,Manhattan,12.849780311142876
Morningside Heights,Manhattan,12.453698026584082
Battery Park City,Manhattan,12.448848404428606
Greenwich Village North,Manhattan,12.44694989169403
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.29541192413338
